Email,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,Searches
2bwyzp9l@outlook.com,2,17,16,15,10,12,18,17,14,10,13,20,20,11,0,"P12,P13,P07,P02,P08,P03"
lttekmt3@connect.np.edu.sg,4,14,8,10,11,2,4,18,18,1,2,0,14,19,18,"P14,P08,P09,P15,P02,P10"
4ihsskea@gmail.com,11,5,7,8,5,9,14,17,1,1,17,8,16,14,3,"P08,P11,P13,P07,P14,P01"
kforgay7@connect.np.edu.sg,16,10,1,19,17,14,2,13,19,11,13,3,12,10,15,"P04,P09,P05,P01,P02,P06"
yrcc5kmy@yahoo.com,18,3,16,6,7,18,20,3,8,3,20,6,9,12,20,"P07,P11,P15,P01,P06,P03"
8jsxclpk@connect.np.edu.sg,12,9,3,7,4,1,8,16,18,1,7,18,20,5,10,"P13,P09,P12,P08,P01,P15"
9p9rvw1z@connect.np.edu.sg,1,5,18,8,15,0,4,6,7,17,12,2,14,7,10,"P03,P10,P05,P13,P11,P15"
yn16qxek@gmail.com,3,19,20,3,18,2,20,7,7,14,0,1,2,2,14,"P03,P07,P02,P05,P10,P15"
3bskxw10@outlook.com,19,6,8,11,10,12,7,14,7,6,10,19,3,17,17,"P01,P12,P14,P15,P08,P06"
r54ov1o7@outlook.com,16,4,19,10,8,2,18,4,20,20,0,14,15,1,16,"P09,P03,P03,P07,P01,P15"
sdimd9ij@outlook.com,1,13,11,7,6,3,0,5,4,0,1,20,8,0,18,"P12,P15,P02,P03,P13,P04"
fmmqrk14@connect.np.edu.sg,19,4,6,16,12,17,17,15,6,9,16,13,9,18,20,"P15,P01,P14,P06,P07,P04"
np0wq00z@outlook.com,13,7,11,16,7,6,2,16,2,18,19,18,19,1,12,"P11,P13,P10,P12,P04,P08"
7mdwksrv@gmail.com,6,7,8,17,17,9,5,15,14,17,10,14,1,1,18,"P15,P04,P05,P10,P08,P09"
zaemtbxa@connect.np.edu.sg,19,13,18,6,19,0,19,11,12,0,7,19,17,1,18,"P03,P05,P07,P12,P03,P15"
dzrebm88@yahoo.com,6,5,9,11,9,13,10,6,7,10,11,4,0,19,6,"P14,P06,P04,P11,P07,P10"
fcoaovpj@outlook.com,10,5,7,0,20,7,14,6,14,2,10,13,20,14,11,"P05,P13,P01,P09,P14,P12"
6kxn0ckm@outlook.com,11,16,14,5,2,4,9,2,13,18,13,13,12,12,1,"P10,P02,P03,P09,P11,P12"
l989juny@yahoo.com,6,17,14,5,8,10,12,0,18,2,3,16,8,14,9,"P09,P02,P12,P03,P14,P07"
uiqz30g7@connect.np.edu.sg,19,3,0,17,20,14,2,7,4,1,4,7,18,19,6,"P05,P05,P14,P13,P04,P06"
v3unf4x0@connect.np.edu.sg,1,10,10,1,16,15,4,6,15,15,10,12,13,4,10,"P05,P06,P09,P10,P13,P12"
xbv3gt9s@gmail.com,6,5,2,7,5,20,15,16,20,11,16,18,12,18,13,"P06,P09,P12,P14,P08,P11"
hapbvh5g@gmail.com,14,2,19,20,16,16,17,5,15,2,20,4,20,10,14,"P04,P11,P09,P03,P07,P05"
xre1yx3s@connect.np.edu.sg,8,14,12,9,7,20,8,19,3,3,13,2,20,16,20,"P06,P13,P15,P08,P14,P02"
um2yq11t@outlook.com,9,14,2,3,5,7,17,14,13,10,4,14,5,16,17,"P07,P15,P14,P02,P08,P12"
w65d8bn9@gmail.com,9,8,18,13,16,9,18,19,12,15,15,15,5,2,5,"P08,P03,P07,P05,P10,P11"
54pxtz18@yahoo.com,14,0,7,5,19,14,14,14,15,9,13,10,14,8,15,"P05,P09,P15,P01,P06,P07"
xwwrb0l6@outlook.com,7,9,4,4,13,14,15,18,17,9,20,9,16,0,0,"P11,P08,P09,P13,P07,P04"
fglckdrc@yahoo.com,20,2,2,2,9,16,12,7,15,0,4,9,12,10,9,"P01,P06,P09,P07,P11,P14"
tqu39t0s@yahoo.com,6,18,3,13,15,1,18,5,12,19,13,0,17,12,17,"P10,P02,P07,P13,P15,P05"
5geo0qaa@connect.np.edu.sg,17,2,10,6,11,10,20,6,4,6,6,13,7,16,12,"P07,P01,P14,P12,P15,P05"
x0gq4ccb@connect.np.edu.sg,3,9,11,7,5,3,4,4,9,0,10,8,3,7,3,"P03,P11,P02,P09,P12,P04"
cx23jg2n@outlook.com,16,9,14,0,6,13,10,6,9,1,3,7,6,1,12,"P01,P03,P06,P15,P07,P09"
wiapzgdy@connect.np.edu.sg,13,6,12,20,14,6,20,19,14,0,6,2,14,12,3,"P04,P07,P08,P05,P09,P13"
lk2bmn69@connect.np.edu.sg,11,7,6,17,9,7,11,7,7,11,15,18,18,20,15,"P14,P12,P13,P04,P11,P15"
2ggy00or@connect.np.edu.sg,12,2,7,5,5,14,6,0,20,15,8,8,19,2,20,"P09,P15,P13,P10,P06,P01"
njydnuch@outlook.com,2,17,0,18,16,7,9,8,9,18,18,3,20,7,2,"P13,P04,P10,P11,P02,P05"
ba976ds6@connect.np.edu.sg,10,13,10,5,12,15,0,5,14,7,9,1,15,5,8,"P06,P13,P09,P02,P05,P01"
5xnsuahb@yahoo.com,9,8,15,5,9,14,3,9,2,7,17,1,12,3,13,"P11,P03,P06,P15,P13,P01"
56lkvsc6@connect.np.edu.sg,18,0,5,5,16,19,16,5,5,4,8,18,18,15,9,"P06,P01,P12,P13,P05,P07"
yqr3c15p@connect.np.edu.sg,11,8,17,13,8,1,11,8,14,11,12,3,8,2,18,"P15,P03,P09,P04,P11,P01"
iw15penc@gmail.com,17,19,4,14,14,1,0,20,13,20,3,9,19,5,0,"P08,P10,P02,P13,P01,P04"
o8vqqbmq@outlook.com,20,13,13,11,12,18,19,2,1,1,4,7,20,5,20,"P01,P13,P15,P10,P06,P02"
erg9gvxg@outlook.com,16,5,15,12,1,12,1,15,9,5,13,1,12,1,7,"P01,P03,P08,P11,P04,P06"
d80kekw5@outlook.com,0,15,5,7,15,4,1,10,0,7,13,1,11,12,8,"P02,P05,P11,P14,P13,P08"
21vnw88q@yahoo.com,8,2,9,3,14,17,7,15,1,10,17,11,13,4,13,"P06,P11,P08,P05,P13,P15"
e6laiux5@connect.np.edu.sg,15,0,8,3,7,2,12,16,1,3,17,14,9,4,13,"P11,P08,P01,P12,P15,P07"
6cx9fzc0@connect.np.edu.sg,5,0,9,16,5,14,4,3,7,0,2,4,6,9,16,"P04,P15,P06,P03,P14,P09"
xeg51wbh@yahoo.com,0,8,19,9,11,7,10,16,8,3,19,1,1,4,6,"P03,P11,P08,P05,P07,P04"
xforf14d@yahoo.com,18,0,10,10,8,11,8,13,13,4,10,5,19,20,2,"P14,P13,P01,P08,P09,P06"
e4refq8q@connect.np.edu.sg,0,0,13,13,17,13,17,17,10,8,9,8,19,13,7,"P13,P05,P07,P08,P03,P04"
jp7fqjam@gmail.com,11,3,5,7,17,19,18,12,17,16,18,1,13,14,12,"P06,P07,P11,P05,P09,P10"
79c2f6xg@outlook.com,7,19,1,0,7,3,8,3,16,0,5,7,2,12,16,"P02,P09,P15,P14,P07,P01"
2bplni9o@outlook.com,14,17,16,18,10,9,14,13,8,14,0,20,4,5,3,"P12,P04,P02,P03,P01,P07"
q7c1g4iz@gmail.com,7,5,3,13,3,11,16,13,19,1,13,1,3,6,13,"P09,P07,P04,P08,P11,P15"
hist2n6x@yahoo.com,10,9,19,10,20,10,1,19,12,2,18,9,4,2,0,"P05,P13,P08,P11,P09,P01"
crbj7wpf@gmail.com,17,14,2,8,16,12,18,4,15,18,7,5,12,12,17,"P07,P10,P01,P15,P05,P09"
84o0fv97@outlook.com,15,9,9,12,15,12,14,0,10,11,6,0,18,3,16,"P13,P15,P01,P05,P07,P04"
1im669ab@outlook.com,7,6,7,5,11,18,18,19,12,3,17,1,0,6,3,"P08,P06,P07,P11,P09,P05"
c4h416uy@gmail.com,15,1,18,4,8,16,2,13,15,4,16,15,7,0,16,"P03,P06,P11,P15,P01,P09"
ko5j10nw@outlook.com,15,11,1,7,18,20,9,9,10,13,19,0,6,13,11,"P06,P11,P05,P01,P10,P14"
tm6z2scp@outlook.com,3,12,6,14,0,19,7,13,6,12,16,8,7,6,15,"P06,P11,P15,P04,P08,P02"
7eqzrrva@connect.np.edu.sg,9,18,16,18,1,20,8,1,14,7,19,1,14,13,1,"P06,P11,P02,P04,P03,P09"
jvg689ct@connect.np.edu.sg,19,20,3,18,13,14,18,10,20,16,14,4,3,9,14,"P02,P09,P01,P04,P07,P10"
3mzfe9im@connect.np.edu.sg,20,3,13,5,1,20,14,18,16,13,13,4,12,4,16,"P01,P06,P08,P02,P15,P07"
m1zktwz9@yahoo.com,9,16,1,9,3,19,4,17,19,15,3,13,1,12,6,"P06,P09,P08,P02,P10,P12"
jjp0n1qr@gmail.com,18,12,17,1,11,12,13,9,12,10,5,12,3,9,11,"P01,P03,P07,P02,P11,P09"
7alr03ps@gmail.com,15,7,13,14,16,18,4,17,15,7,15,13,19,3,2,"P03,P06,P08,P05,P01,P09"
n3wdtyxe@gmail.com,7,16,4,2,20,12,15,0,15,7,9,2,17,12,9,"P05,P11,P02,P07,P09,P06"
7ub307ci@connect.np.edu.sg,1,3,1,4,14,16,4,16,8,3,15,20,2,14,3,"P12,P06,P08,P11,P05,P14"
che5rdnu@connect.np.edu.sg,0,11,5,19,4,14,19,8,15,20,16,5,0,4,8,"P10,P04,P14,P11,P09,P06"
sv0s9omi@gmail.com,16,1,15,18,9,0,11,9,11,16,12,0,4,4,15,"P04,P01,P10,P03,P15,P11"
vwurg6gg@yahoo.com,12,4,19,20,6,3,1,20,2,3,19,9,7,16,18,"P04,P08,P03,P11,P15,P14"
4o8f2iyn@connect.np.edu.sg,18,15,4,1,10,14,16,8,8,14,4,16,0,0,17,"P01,P15,P07,P12,P02,P06"
39y4wymi@yahoo.com,1,20,2,14,7,19,0,11,17,7,4,17,16,4,6,"P02,P06,P09,P12,P13,P04"
5dudr7cx@yahoo.com,19,5,6,2,10,2,7,1,8,2,14,16,14,11,1,"P01,P12,P11,P10,P14,P05"
wosyhii4@connect.np.edu.sg,10,10,8,19,7,14,7,14,19,2,3,16,7,11,5,"P04,P09,P12,P06,P08,P14"
qtx01mir@yahoo.com,9,16,6,6,13,20,11,1,13,17,0,1,16,5,20,"P06,P15,P10,P02,P13,P05"
8a1wtb96@yahoo.com,9,7,14,16,7,8,3,12,4,12,12,1,15,4,20,"P15,P04,P13,P03,P08,P10"
g63fmg8t@outlook.com,19,9,0,7,4,8,17,14,12,1,7,2,6,6,17,"P01,P07,P15,P08,P09,P02"
w2h7c5h4@gmail.com,18,4,4,2,1,5,6,16,0,10,15,17,7,4,13,"P01,P12,P08,P11,P15,P10"
jg9z359f@outlook.com,11,14,15,15,14,10,16,16,14,6,1,8,3,9,3,"P07,P08,P03,P04,P02,P05"
x1lxxkga@connect.np.edu.sg,4,3,6,16,8,15,16,13,13,20,5,13,14,18,7,"P10,P14,P04,P07,P06,P13"
p5tau57u@gmail.com,20,2,10,11,2,4,12,15,0,6,19,2,2,7,8,"P01,P11,P08,P07,P04,P03"
c47glwoh@outlook.com,11,10,5,13,20,10,11,4,20,4,7,10,17,18,8,"P05,P09,P14,P13,P04,P01"
l6jfkebm@outlook.com,16,11,11,15,16,5,17,9,3,17,11,2,1,15,11,"P07,P10,P01,P05,P04,P14"
co9kr6fk@yahoo.com,11,9,12,11,1,17,20,8,11,0,12,1,3,8,11,"P07,P06,P03,P11,P01,P04"
uxk70gl5@yahoo.com,4,10,13,9,19,6,0,12,1,20,7,3,5,7,20,"P10,P15,P05,P03,P08,P02"
y6h95eaj@outlook.com,7,12,3,5,6,8,14,11,8,1,14,10,4,8,11,"P07,P11,P02,P08,P15,P12"
k3eleqey@gmail.com,14,0,0,8,4,2,13,20,3,20,1,8,3,10,9,"P08,P10,P01,P07,P14,P15"
s1br9qkt@outlook.com,14,8,4,3,6,15,16,2,5,3,10,17,4,4,5,"P12,P07,P06,P01,P11,P02"
mgmd6x9a@connect.np.edu.sg,0,9,9,8,14,8,3,16,13,8,1,2,0,19,5,"P14,P08,P05,P09,P02,P03"
q2loik5e@yahoo.com,11,1,7,5,8,17,4,10,10,16,1,18,8,15,13,"P12,P13,P10,P14,P15,P01"
p9n32qs0@yahoo.com,1,16,1,12,17,14,11,0,9,3,1,17,6,9,1,"P05,P12,P02,P06,P04,P07"
ictin3ya@outlook.com,17,20,12,18,1,14,9,15,20,4,3,4,0,11,1,"P02,P09,P04,P01,P08,P06"
iypysoon@connect.np.edu.sg,18,12,11,1,8,1,5,13,6,8,1,18,19,0,18,"P13,P01,P12,P15,P08,P02"
192r2sta@yahoo.com,20,8,17,20,11,7,5,8,9,20,12,12,4,2,8,"P01,P04,P10,P03,P11,P12"
x4z5h6p9@yahoo.com,18,11,18,6,17,6,19,7,6,14,17,15,9,1,15,"P07,P01,P03,P05,P11,P12"
9mfhmush@outlook.com,14,5,1,17,20,15,9,0,18,18,3,6,19,4,2,"P09,P13,P09,P10,P04,P06"
8k0hcfjm@yahoo.com,13,8,12,9,20,8,14,15,1,19,12,7,14,12,5,"P05,P10,P08,P07,P13,P01"
qaffp0qx@outlook.com,16,20,17,0,12,10,10,18,10,9,6,18,12,9,7,"P02,P08,P12,P03,P01,P05"
6zpm29og@outlook.com,13,12,18,9,7,19,17,11,6,16,5,9,17,3,14,"P06,P03,P07,P13,P03,P15"
dmypnk28@yahoo.com,4,18,8,0,8,1,15,7,16,8,16,12,2,2,20,"P15,P02,P09,P11,P07,P12"
gubmebsr@connect.np.edu.sg,8,7,15,0,3,5,1,6,17,1,11,0,15,15,0,"P09,P03,P13,P14,P11,P01"
1vg847rb@outlook.com,13,7,10,14,3,0,19,2,4,6,10,13,4,0,8,"P07,P04,P01,P12,P03,P11"
r35t0ef6@yahoo.com,6,12,0,16,7,16,1,13,19,11,8,4,5,8,11,"P09,P04,P06,P08,P02,P10"
t37ov4zb@yahoo.com,9,4,14,3,10,4,20,2,17,13,14,5,8,9,4,"P07,P09,P03,P11,P10,P05"
pm8s335m@outlook.com,14,5,2,15,12,10,11,3,8,0,14,3,4,16,13,"P14,P04,P01,P11,P15,P05"
11frwhuc@connect.np.edu.sg,13,12,3,5,15,6,18,10,20,6,10,17,13,11,2,"P09,P07,P12,P05,P01,P13"
6a3zk8ey@connect.np.edu.sg,1,8,6,19,16,7,6,13,10,0,11,7,11,8,19,"P04,P15,P05,P08,P11,P13"
8cet3rj9@connect.np.edu.sg,15,3,0,14,12,8,4,16,0,5,16,5,18,20,2,"P14,P13,P08,P01,P01,P04"
katse8ar@outlook.com,10,17,2,17,4,20,19,0,0,2,10,3,12,4,4,"P06,P07,P02,P04,P13,P01"
69a961pv@outlook.com,15,10,3,8,16,13,14,9,12,9,2,17,16,17,10,"P12,P14,P05,P13,P01,P07"
4a6lztah@yahoo.com,18,1,0,6,4,8,20,8,0,13,2,13,19,7,14,"P13,P13,P01,P15,P10,P12"
