Email,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,Searches
oakr4m0r@connect.np.edu.sg,0,20,17,4,8,17,8,0,10,11,2,5,2,4,18,"P02,P15,P03,P08,P10,P09"
1vqg8yuv@connect.np.edu.sg,10,18,7,16,12,16,6,3,10,4,3,13,12,17,17,"P02,P14,P15,P04,P06,P12"
76wm95hy@outlook.com,0,10,8,4,6,9,1,2,0,16,3,1,2,5,0,"P10,P02,P06,P03,P05,P14"
uz463qrv@yahoo.com,13,20,6,6,10,20,1,4,19,4,19,20,13,11,3,"P02,P06,P12,P09,P11,P08"
budtddi7@outlook.com,15,8,17,4,1,19,18,18,10,0,15,4,18,6,14,"P06,P07,P08,P13,P03,P01"
b4h13u14@yahoo.com,2,16,8,16,18,18,16,15,20,2,9,20,17,14,17,"P09,P12,P05,P06,P13,P15"
jnp9r4st@yahoo.com,14,4,4,2,13,1,16,10,14,17,10,17,12,19,0,"P14,P10,P12,P07,P01,P09"
7usps2af@yahoo.com,7,7,13,18,0,10,2,0,10,11,0,4,6,14,1,"P04,P14,P03,P10,P13,P09"
99jq89ts@gmail.com,3,3,17,8,17,6,2,15,10,10,15,9,8,20,2,"P14,P03,P05,P08,P11,P09"
ixby0io0@yahoo.com,13,3,8,13,12,19,16,1,8,2,6,8,16,9,17,"P06,P15,P07,P13,P01,P04"
lfpmncqi@connect.np.edu.sg,9,14,16,13,18,14,12,5,8,4,17,1,18,15,18,"P05,P13,P15,P11,P03,P14"
q10v7j0f@gmail.com,10,6,6,8,3,3,11,9,7,4,6,15,17,18,12,"P14,P13,P12,P15,P07,P01"
tm5jmbvm@gmail.com,14,4,13,13,13,8,8,19,17,15,10,18,5,20,1,"P14,P08,P01,P09,P10,P01"
9qq413k1@gmail.com,20,12,1,5,15,12,11,19,4,8,13,19,4,5,16,"P10,P08,P12,P15,P05,P11"
y6wnijld@connect.np.edu.sg,12,19,13,11,4,4,13,9,19,3,0,11,13,5,18,"P02,P09,P15,P03,P07,P13"
qjwvxunv@outlook.com,18,7,8,17,15,1,7,5,9,19,0,2,3,12,4,"P10,P01,P04,P05,P14,P09"
zwg8oyw6@connect.np.edu.sg,5,18,15,20,7,2,18,1,20,2,5,19,14,11,0,"P04,P09,P12,P02,P07,P03"
orvc0cij@yahoo.com,19,7,14,10,11,3,10,4,8,8,13,3,2,16,13,"P01,P14,P03,P01,P15,P05"
8rvpjf2l@yahoo.com,20,13,15,1,2,20,11,7,12,16,18,16,0,16,16,"P01,P06,P11,P10,P12,P14"
sa6r34cn@yahoo.com,6,4,3,7,11,7,0,8,11,12,13,10,13,8,6,"P11,P13,P10,P05,P09,P12"
ydliskin@outlook.com,3,0,16,5,17,1,1,18,15,20,4,20,19,7,17,"P10,P12,P13,P08,P05,P15"
bewy4t4z@gmail.com,8,8,2,18,0,14,8,16,4,19,1,0,17,10,8,"P10,P04,P13,P08,P06,P14"
hz6vea8f@yahoo.com,17,7,18,15,1,12,9,0,2,18,17,16,9,8,5,"P03,P10,P01,P11,P12,P04"
eupc30sc@connect.np.edu.sg,4,2,6,18,8,0,10,0,20,9,2,5,6,8,15,"P09,P04,P15,P07,P10,P05"
cm6zxn4z@yahoo.com,12,11,9,4,8,4,7,9,14,1,3,4,13,13,7,"P09,P01,P14,P01,P02,P03"
hza9vbh2@outlook.com,8,6,14,9,16,7,4,3,10,14,17,3,18,6,13,"P03,P11,P05,P03,P10,P15"
116p70ym@yahoo.com,20,5,10,6,5,5,16,11,12,0,6,17,1,7,11,"P01,P12,P07,P09,P08,P15"
c0k71jrl@connect.np.edu.sg,13,12,14,8,3,16,19,11,14,10,9,18,7,12,6,"P07,P12,P06,P03,P09,P01"
gncmuwbl@connect.np.edu.sg,19,13,17,2,12,4,5,5,2,19,8,18,11,6,13,"P01,P10,P12,P01,P02,P15"
reu8wzq6@connect.np.edu.sg,18,19,12,19,18,19,2,5,9,14,9,5,2,12,17,"P02,P04,P06,P01,P05,P15"
lj5m9ctb@yahoo.com,6,10,19,4,8,7,5,20,1,14,2,19,10,11,20,"P08,P15,P03,P12,P10,P14"
jj27ht6v@connect.np.edu.sg,15,10,2,14,5,1,20,10,10,3,18,17,6,0,13,"P07,P11,P12,P01,P04,P15"
0av9rles@yahoo.com,12,18,10,10,8,5,11,0,1,15,6,14,17,14,7,"P11,P13,P10,P12,P14,P01"
x9grzqvd@outlook.com,8,7,13,9,16,4,16,2,5,15,15,10,7,17,14,"P14,P05,P07,P10,P11,P15"
sj0dwe7h@connect.np.edu.sg,15,3,19,9,2,14,9,2,6,3,3,5,3,9,13,"P03,P01,P06,P15,P04,P07"
mpq8z6vc@yahoo.com,7,4,4,10,3,0,5,2,14,20,20,20,1,15,0,"P10,P11,P12,P14,P09,P04"
kq71615v@outlook.com,3,1,9,16,1,11,12,0,16,20,5,9,2,17,7,"P10,P10,P04,P09,P07,P06"
2596s34l@yahoo.com,11,13,6,12,6,9,19,9,6,19,3,16,16,12,5,"P07,P10,P12,P13,P02,P04"
9w8iast8@connect.np.edu.sg,6,10,5,11,16,0,16,7,0,17,14,12,17,18,16,"P14,P10,P13,P05,P07,P15"
j7i3iw84@gmail.com,18,2,16,17,15,16,10,13,9,2,6,12,1,3,13,"P01,P04,P03,P06,P05,P08"
okb2uecl@connect.np.edu.sg,9,17,20,8,3,7,19,11,1,9,3,5,15,20,5,"P03,P14,P07,P02,P13,P08"
v0layhpe@gmail.com,18,13,3,2,13,13,14,11,14,6,7,5,12,14,20,"P15,P01,P07,P09,P14,P02"
mo5ee7ck@outlook.com,16,19,16,19,18,11,0,7,8,4,7,17,13,14,14,"P02,P04,P05,P12,P01,P03"
dolasdn0@connect.np.edu.sg,11,20,5,11,3,0,12,16,2,19,14,6,3,7,12,"P02,P10,P08,P11,P07,P15"
otdybhdm@connect.np.edu.sg,19,14,15,12,14,18,6,14,17,17,0,19,8,10,13,"P01,P12,P06,P09,P10,P03"
2yoxi6u3@gmail.com,8,3,14,3,10,19,5,20,11,3,18,7,0,8,2,"P08,P06,P11,P03,P09,P05"
zkt6if6z@gmail.com,17,15,7,12,19,11,17,15,17,12,11,14,18,18,15,"P05,P13,P14,P01,P07,P09"
tffokls5@outlook.com,16,9,20,1,17,0,3,5,13,1,6,4,8,12,9,"P06,P05,P01,P09,P14,P02"
7utldmga@gmail.com,11,3,6,13,20,0,7,3,12,7,3,13,7,14,13,"P05,P14,P04,P12,P15,P09"
a0hw7mdi@outlook.com,10,13,10,1,2,13,15,6,9,13,6,13,2,2,14,"P07,P15,P02,P06,P10,P12"
mqnb8bo1@outlook.com,19,1,8,3,3,0,17,11,18,19,6,2,19,16,15,"P01,P10,P13,P09,P07,P14"
ky4yz8a0@outlook.com,0,4,11,9,12,15,10,19,12,19,18,4,6,18,6,"P08,P10,P11,P14,P06,P05"
hkftrjrn@connect.np.edu.sg,11,19,0,2,7,17,19,13,1,11,2,15,17,13,17,"P02,P07,P06,P13,P15,P12"
f9r0t6yz@gmail.com,4,1,10,14,4,17,5,16,17,10,20,18,3,13,1,"P11,P12,P06,P09,P08,P04"
zt7ih2bm@yahoo.com,18,10,12,6,16,14,0,19,6,15,14,10,7,17,16,"P08,P01,P14,P05,P15,P10"
c447evvx@yahoo.com,6,11,13,12,6,16,15,18,16,6,13,12,6,11,12,"P08,P06,P09,P07,P03,P11"
4u8h88ad@yahoo.com,14,6,20,3,3,7,16,1,13,1,16,4,16,4,2,"P03,P07,P11,P08,P01,P09"
d75880ai@gmail.com,1,9,4,12,6,18,18,3,19,1,5,0,15,14,11,"P09,P06,P07,P13,P14,P04"
53kz3h70@yahoo.com,5,0,11,1,18,7,4,12,10,3,20,14,18,8,9,"P11,P05,P13,P12,P08,P03"
91x0kqqc@connect.np.edu.sg,16,13,13,12,10,12,5,8,9,9,9,14,5,10,6,"P01,P12,P02,P03,P04,P06"
cew7emdc@yahoo.com,4,20,3,18,7,14,5,13,11,9,5,12,9,4,1,"P02,P04,P06,P08,P12,P09"
fg4ym8cq@gmail.com,8,19,9,20,15,8,8,8,6,3,19,14,4,16,2,"P04,P02,P11,P14,P05,P12"
p2t4dom2@gmail.com,20,16,4,9,15,12,17,20,5,0,14,15,1,17,16,"P01,P08,P07,P14,P02,P15"
nvhggd2s@outlook.com,8,13,7,12,14,0,13,17,7,3,5,17,10,4,10,"P08,P12,P05,P02,P03,P04"
mtru2mvy@gmail.com,4,18,18,17,0,9,7,13,11,10,0,20,12,17,17,"P12,P02,P03,P04,P14,P15"
e2j32lug@gmail.com,7,4,18,15,9,10,2,9,13,0,9,3,10,6,13,"P03,P14,P09,P15,P06,P13"
6niwnbwr@yahoo.com,0,12,12,19,10,14,16,16,0,11,14,6,1,0,19,"P04,P15,P07,P08,P06,P11"
l22mes7x@outlook.com,7,1,8,3,16,8,7,20,16,1,9,2,10,14,11,"P08,P05,P09,P14,P15,P13"
9msgvsk5@connect.np.edu.sg,13,12,1,5,16,20,3,15,3,12,9,15,19,1,16,"P06,P13,P05,P15,P08,P12"
9z1t5k7n@outlook.com,6,5,0,15,0,8,19,15,14,8,14,14,1,0,17,"P07,P15,P04,P08,P09,P11"
c0lqv88n@gmail.com,17,11,14,17,16,4,1,1,17,20,0,6,9,6,14,"P10,P01,P04,P09,P05,P03"
uzqvwitv@yahoo.com,11,12,0,11,5,16,17,17,4,16,10,11,2,11,18,"P15,P07,P08,P04,P10,P02"
tao13wdb@yahoo.com,18,20,8,17,11,18,5,18,5,3,14,13,10,0,18,"P02,P01,P06,P08,P15,P04"
kpx0llu0@outlook.com,10,4,16,9,0,17,20,6,4,19,4,15,17,3,9,"P07,P10,P06,P13,P03,P12"
3xm5yj0f@connect.np.edu.sg,6,14,6,13,13,15,15,2,16,9,19,17,10,20,10,"P14,P11,P12,P09,P06,P07"
1r8nnfzr@connect.np.edu.sg,14,17,5,4,2,10,16,9,5,17,14,5,16,16,3,"P02,P10,P07,P13,P14,P01"
ypb59p9s@connect.np.edu.sg,4,8,0,14,0,18,4,15,17,17,14,9,3,18,2,"P06,P14,P09,P10,P08,P04"
xyh9l5hr@gmail.com,3,12,8,1,14,1,7,13,17,3,5,14,6,12,20,"P10,P09,P05,P12,P08,P02"
calnwc4d@outlook.com,17,14,19,19,4,6,14,3,10,7,3,18,8,10,14,"P03,P04,P12,P01,P02,P07"
c9vy4f4v@gmail.com,4,17,14,1,16,2,3,12,20,19,19,8,12,12,3,"P09,P10,P11,P02,P05,P03"
9equa0ak@yahoo.com,12,7,16,3,7,1,9,4,1,2,4,12,15,19,0,"P14,P03,P13,P01,P12,P07"
i9ivssp0@gmail.com,6,3,15,12,10,3,10,1,10,3,9,7,4,8,13,"P03,P15,P14,P05,P07,P09"
8pbby8ml@gmail.com,11,12,3,7,10,7,16,20,19,10,2,12,12,17,11,"P08,P09,P14,P07,P02,P12"
w03vu8mh@gmail.com,19,7,7,14,7,14,15,13,2,3,17,6,14,3,14,"P01,P11,P07,P04,P06,P13"
u8jv71uo@connect.np.edu.sg,11,11,15,13,17,8,17,4,10,6,2,15,18,14,13,"P13,P05,P07,P03,P12,P14"
xnq1k2f4@connect.np.edu.sg,3,19,5,3,1,9,2,17,17,17,9,11,1,16,1,"P02,P08,P09,P10,P14,P12"
wn1avc3e@gmail.com,14,20,5,10,15,1,17,14,5,20,18,20,20,11,1,"P02,P10,P12,P13,P11,P07"
5ae7hma4@connect.np.edu.sg,16,4,14,20,5,1,9,19,15,2,7,19,0,4,15,"P04,P08,P12,P01,P09,P15"
9j63q7kr@connect.np.edu.sg,16,11,12,8,19,19,19,3,15,3,9,5,3,11,16,"P05,P06,P07,P01,P15,P09"
vyv34vyw@yahoo.com,7,4,0,19,8,8,2,15,15,0,19,7,20,2,14,"P13,P04,P15,P08,P09,P15"
fnimmnfv@yahoo.com,17,14,0,10,8,17,11,10,3,11,19,10,14,16,2,"P11,P01,P06,P14,P02,P13"
cqg20xog@yahoo.com,15,6,5,6,9,5,5,13,6,19,9,20,8,8,14,"P12,P10,P01,P15,P08,P05"
kfyj2ln1@connect.np.edu.sg,5,1,9,4,12,3,2,15,2,2,13,8,0,19,7,"P14,P08,P11,P05,P03,P12"
hlehcvbx@gmail.com,10,2,16,0,12,13,2,20,5,15,0,14,1,18,11,"P08,P14,P03,P10,P12,P06"
8ns0htpb@yahoo.com,19,8,0,9,3,5,10,5,5,16,11,10,9,7,1,"P01,P10,P11,P07,P12,P04"
a2lnnov8@connect.np.edu.sg,3,0,12,15,6,1,16,11,19,1,17,1,5,5,3,"P09,P11,P07,P04,P03,P08"
3gq6daf1@outlook.com,3,0,6,14,19,5,16,20,6,2,7,7,6,19,5,"P08,P05,P10,P07,P04,P11"
wqmcf3cb@connect.np.edu.sg,6,8,1,13,15,1,11,15,8,5,6,10,16,7,15,"P13,P05,P08,P15,P13,P07"
ciy44mfs@connect.np.edu.sg,2,9,14,5,11,15,8,16,2,15,16,9,7,12,6,"P08,P11,P06,P10,P03,P14"
7dbmpz5v@connect.np.edu.sg,18,14,14,4,9,18,14,19,0,3,7,9,0,11,19,"P08,P15,P01,P06,P02,P03"
predqx6p@connect.np.edu.sg,12,0,9,10,13,6,0,14,9,0,7,13,6,10,5,"P08,P05,P12,P01,P04,P14"
n7du9xun@yahoo.com,15,5,10,19,2,5,2,6,11,10,3,16,11,12,4,"P04,P12,P01,P04,P09,P13"
0k3l7x56@outlook.com,7,16,19,20,12,17,1,3,5,0,13,20,12,1,5,"P04,P12,P03,P06,P02,P11"
4g3dho74@outlook.com,11,20,1,3,3,17,19,0,12,2,20,5,14,16,18,"P15,P11,P07,P15,P06,P14"
x599tt46@outlook.com,5,11,19,11,6,19,2,1,11,11,9,8,15,18,16,"P03,P06,P14,P15,P13,P02"
ltuib1po@outlook.com,5,18,13,9,9,3,20,10,16,15,14,13,14,3,2,"P07,P02,P09,P10,P11,P13"
b1mj4g7a@yahoo.com,5,10,18,11,14,16,12,7,20,10,19,7,7,15,10,"P09,P11,P03,P06,P14,P05"
psi2tdyw@gmail.com,12,9,4,13,6,15,1,10,7,6,12,11,16,19,12,"P14,P13,P06,P04,P01,P11"
nedujuga@connect.np.edu.sg,12,8,13,4,16,18,1,18,15,5,11,7,9,4,12,"P06,P07,P05,P09,P03,P01"
l8522ffh@yahoo.com,9,16,8,15,15,8,6,17,20,15,2,9,13,9,18,"P09,P15,P08,P02,P04,P05"
xbavhzt8@yahoo.com,3,13,6,13,13,0,1,0,14,9,13,19,14,3,4,"P12,P09,P13,P02,P04,P05"
77jg33yv@outlook.com,17,7,0,5,1,1,4,17,14,11,0,13,0,17,18,"P15,P01,P08,P14,P09,P12"
7wbb2lme@connect.np.edu.sg,10,17,16,9,15,13,9,13,3,6,4,6,2,0,14,"P02,P03,P05,P15,P06,P08"
d6s3l1c7@yahoo.com,1,1,11,19,15,0,8,13,4,19,4,15,6,11,2,"P04,P10,P05,P12,P08,P03"
sbqkq3vl@yahoo.com,6,4,3,1,6,1,19,9,20,18,14,9,0,18,18,"P09,P02,P10,P14,P15,P11"
5njlbfmo@connect.np.edu.sg,16,8,4,11,11,2,9,19,3,0,6,18,6,5,19,"P08,P15,P12,P01,P04,P13"
ltsc9hsd@outlook.com,12,15,2,4,13,5,17,12,9,0,20,20,14,5,17,"P11,P12,P07,P15,P02,P13"
iwp63dkj@yahoo.com,15,16,4,1,6,11,14,20,9,8,6,4,14,19,10,"P08,P14,P02,P01,P07,P13"
5xpet2i1@outlook.com,1,13,11,12,20,10,9,16,15,7,8,0,8,11,13,"P05,P08,P09,P02,P15,P04"
uf6fmndd@connect.np.edu.sg,17,4,13,0,20,19,20,15,15,9,0,6,11,11,6,"P05,P07,P06,P01,P08,P09"
76k53n1j@connect.np.edu.sg,15,11,5,4,11,3,10,2,15,16,11,9,20,18,3,"P13,P14,P10,P01,P09,P02"
nqs6b35r@yahoo.com,10,3,8,4,13,1,17,9,7,13,14,13,8,10,4,"P07,P11,P05,P10,P12,P01"
oigytzcy@connect.np.edu.sg,14,1,3,18,5,17,6,15,16,14,16,19,1,18,5,"P12,P04,P14,P06,P09,P11"
xw3tkg8w@gmail.com,1,13,14,16,8,0,20,19,7,13,3,15,12,6,14,"P07,P08,P04,P12,P03,P15"
wpvx9x1u@outlook.com,1,3,17,8,13,18,10,0,10,11,8,17,0,10,15,"P06,P04,P12,P15,P05,P10"
jitas1wp@connect.np.edu.sg,10,11,2,5,6,13,13,7,20,7,14,14,5,17,19,"P09,P15,P14,P11,P01,P06"
ssceg417@gmail.com,20,10,6,13,11,20,20,10,8,4,0,15,16,2,3,"P01,P06,P07,P13,P12,P04"
74pro77y@yahoo.com,5,9,18,3,10,2,20,5,5,15,14,0,20,16,20,"P07,P13,P15,P03,P14,P10"
kyudw4x3@connect.np.edu.sg,15,11,15,19,6,0,13,13,6,18,9,3,11,14,2,"P04,P10,P01,P03,P14,P07"
ca49fj4z@yahoo.com,11,0,12,17,12,19,18,12,7,7,10,17,4,7,3,"P06,P07,P04,P12,P03,P05"
5qn3m634@outlook.com,10,18,9,13,13,18,17,14,12,4,20,0,0,11,17,"P11,P14,P06,P07,P15,P08"
dr8z7k8m@connect.np.edu.sg,17,1,2,10,5,6,1,17,14,2,14,3,10,5,18,"P15,P01,P08,P09,P11,P04"
489zxqno@yahoo.com,19,16,4,1,6,2,12,9,13,17,4,17,6,9,11,"P01,P10,P12,P02,P09,P07"
jxg6z5h2@gmail.com,2,19,20,18,2,3,12,15,4,16,6,0,17,18,14,"P03,P02,P04,P14,P13,P10"
qe255zbz@gmail.com,7,0,16,20,4,6,12,11,12,6,2,20,10,17,0,"P04,P12,P14,P03,P07,P09"
8kkzoa50@connect.np.edu.sg,7,11,13,20,5,19,7,10,6,4,10,18,3,4,1,"P04,P06,P12,P03,P02,P08"
68ypsf8y@gmail.com,10,18,5,9,16,3,6,0,13,14,9,11,10,12,11,"P02,P05,P10,P09,P14,P12"
byxus5ga@outlook.com,1,20,10,7,5,12,3,10,6,4,17,20,4,1,3,"P02,P12,P11,P06,P03,P08"
rxi4e9s4@gmail.com,19,20,2,4,0,13,13,1,9,4,3,20,0,17,3,"P02,P12,P01,P14,P06,P07"
fwnr8ljl@gmail.com,20,4,15,17,7,5,4,15,11,15,20,8,2,7,16,"P01,P11,P04,P15,P03,P08"
61406kq6@connect.np.edu.sg,12,5,20,20,16,18,1,4,5,15,4,9,15,15,19,"P03,P04,P15,P06,P05,P10"
eknu1glq@connect.np.edu.sg,3,10,11,8,13,6,7,4,17,19,16,15,2,1,14,"P10,P09,P11,P12,P15,P05"
tox9ji0q@gmail.com,2,8,2,17,17,12,6,1,1,12,10,19,8,6,0,"P12,P04,P05,P06,P15,P11"
5k9ibeiv@gmail.com,2,10,4,13,0,20,20,15,16,11,8,14,6,11,11,"P06,P07,P09,P08,P12,P04"
l4fuz8go@yahoo.com,12,11,0,11,20,14,11,2,5,19,16,16,19,11,20,"P05,P15,P10,P13,P11,P12"
udl1uha4@outlook.com,17,5,16,6,8,0,11,0,1,18,4,10,9,17,20,"P15,P10,P01,P14,P03,P07"
fcxmm6p7@connect.np.edu.sg,2,17,13,7,16,3,4,6,18,7,15,10,17,8,7,"P09,P02,P13,P05,P11,P03"
xym48jsp@yahoo.com,5,19,0,13,14,4,12,0,8,17,1,20,15,7,7,"P12,P02,P10,P13,P11,P04"
6fgmr95f@yahoo.com,3,14,17,11,0,3,7,5,18,2,11,15,15,16,9,"P09,P03,P14,P12,P13,P02"
qlqxhorh@gmail.com,8,9,8,11,12,4,5,18,6,8,17,4,4,20,8,"P14,P08,P11,P05,P04,P02"
d565mo6y@yahoo.com,4,4,18,12,15,20,6,8,6,7,19,19,13,0,2,"P06,P11,P12,P03,P05,P13"
vjio2gdp@outlook.com,7,20,15,2,14,0,19,7,5,5,2,15,6,1,3,"P02,P07,P03,P12,P05,P01"
yek4t7z4@outlook.com,7,8,6,17,5,8,18,13,19,16,15,19,8,0,7,"P09,P12,P07,P04,P10,P11"
3y2vkt8w@gmail.com,13,12,18,3,4,17,15,12,5,16,16,0,4,18,7,"P03,P14,P06,P10,P11,P07"
0ngbnk67@connect.np.edu.sg,18,0,18,15,10,5,5,4,0,18,14,12,2,3,14,"P01,P03,P10,P04,P11,P15"
4b8s9hm5@gmail.com,5,9,12,1,8,2,12,0,3,18,19,3,3,19,4,"P11,P14,P10,P02,P07,P02"
d3welwpe@connect.np.edu.sg,15,16,9,13,15,2,10,2,13,13,10,1,9,9,11,"P02,P01,P05,P04,P09,P10"
yya9x4n6@yahoo.com,20,4,2,19,1,10,20,15,3,19,16,15,7,5,1,"P01,P07,P04,P10,P11,P08"
vbhbvur7@connect.np.edu.sg,2,1,8,5,18,14,12,6,13,20,16,19,10,6,6,"P10,P12,P05,P11,P06,P09"
f0ddl0ur@outlook.com,19,3,11,11,0,2,17,6,10,0,17,1,3,8,2,"P01,P07,P11,P03,P04,P09"
slndhy0w@gmail.com,9,18,17,6,14,13,13,20,19,10,20,2,14,6,0,"P08,P11,P09,P02,P03,P05"
3b74evb8@gmail.com,0,20,10,13,13,18,1,6,17,6,0,6,20,19,15,"P02,P13,P14,P06,P09,P15"
y3f7k0k5@connect.np.edu.sg,18,13,8,6,5,14,1,13,4,2,18,19,20,6,6,"P13,P12,P01,P11,P06,P02"
ddx0dkex@gmail.com,11,15,12,12,9,15,19,17,10,6,3,12,8,2,20,"P15,P07,P08,P02,P06,P03"
jogqos3g@connect.np.edu.sg,0,6,10,15,9,2,2,5,20,19,0,15,17,20,0,"P09,P14,P10,P13,P04,P12"
li0bbkb1@outlook.com,11,11,3,11,12,3,15,19,13,3,10,1,13,9,11,"P08,P12,P09,P13,P05,P01"
bdgvz8df@yahoo.com,8,8,7,1,0,5,2,4,18,19,16,4,4,1,3,"P10,P09,P11,P01,P02,P03"
j3nf2f7x@gmail.com,2,16,6,11,7,7,9,4,0,20,16,20,15,12,12,"P10,P12,P02,P11,P13,P14"
h1y83jw5@gmail.com,19,18,8,15,3,16,1,12,18,15,11,7,3,9,0,"P13,P02,P09,P06,P04,P10"
r328usbb@gmail.com,2,11,20,5,0,0,9,3,7,9,14,19,9,20,6,"P03,P14,P12,P11,P02,P07"
h51r9mxh@yahoo.com,18,5,6,10,16,17,2,2,7,12,17,0,6,18,20,"P15,P01,P14,P06,P11,P05"
b8yrkft1@yahoo.com,13,3,19,6,9,1,11,8,14,13,19,6,8,17,15,"P03,P11,P14,P15,P09,P01"
mcqor4tt@gmail.com,6,1,16,4,17,10,8,7,7,11,19,4,20,20,8,"P13,P14,P11,P05,P03,P10"
h1rod4i8@connect.np.edu.sg,14,5,3,6,2,15,15,19,9,18,1,14,2,8,4,"P08,P10,P06,P07,P01,P12"
zc1t2kg9@connect.np.edu.sg,5,5,11,19,3,8,8,0,12,14,2,6,9,17,2,"P04,P14,P10,P09,P03,P13"
uw3a711u@outlook.com,6,6,0,7,3,9,0,19,12,10,14,5,0,5,15,"P08,P15,P11,P09,P10,P06"
0erdnyl3@yahoo.com,13,16,6,20,7,20,0,17,3,2,0,16,8,9,3,"P04,P06,P08,P02,P12,P01"
yfknvwqw@gmail.com,2,11,12,9,10,19,1,7,1,19,20,11,5,12,17,"P11,P07,P10,P15,P03,P14"
tmfp81d1@connect.np.edu.sg,6,14,20,4,5,13,5,8,9,6,18,0,13,13,4,"P03,P11,P02,P06,P13,P14"
x5jkbmn9@gmail.com,10,9,12,14,4,1,19,20,16,2,15,12,12,2,15,"P08,P07,P09,P11,P15,P04"
ynmdtall@connect.np.edu.sg,7,2,11,5,13,5,9,13,13,7,11,6,7,14,5,"P14,P05,P08,P09,P03,P11"
o537ofj5@connect.np.edu.sg,12,17,0,12,19,13,6,19,13,2,7,9,14,16,20,"P15,P05,P08,P02,P14,P13"
vxc4k3kr@connect.np.edu.sg,15,1,18,4,10,0,17,8,7,4,9,10,12,11,11,"P03,P07,P01,P13,P14,P15"
